nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0001834	Damon Wayans	1960	\N	writer,actor,producer	tt0104897,tt0102266,tt0273855,tt0110443
nm0001835	Carl Weathers	1948	\N	actor,director,miscellaneous	tt0116483,tt0089927,tt0093773,tt0075148
nm0001836	Steven Weber	1961	\N	actor,soundtrack,producer	tt0098948,tt0105414,tt0118460,tt0112896
nm0001837	Peter Weir	1944	\N	director,writer,producer	tt0311113,tt1023114,tt0090329,tt0120382
nm0001838	Rachel Weisz	1970	\N	actress,producer,soundtrack	tt0120616,tt3464902,tt0387131,tt0209163
nm0001839	Tuesday Weld	1943	\N	actress,soundtrack	tt0083190,tt0087843,tt0063456,tt0069098
nm0001840	Ming-Na Wen	1963	\N	actress,soundtrack	tt2364582,tt0173840,tt0111301,tt0120762
nm0001841	George Wendt	1948	\N	actor,soundtrack,director	tt0120185,tt0104291,tt0083399,tt0089155
nm0001842	Adam West	1928	2017	actor,soundtrack,director	tt0092297,tt0371606,tt0060153,tt0059968
nm0001843	James Whale	1889	1957	director,miscellaneous,writer	tt0026138,tt0021884,tt0024184,tt0028249
nm0001844	Frank Whaley	1963	\N	actor,director,writer	tt0452702,tt0115759,tt0110912,tt0101761
nm0001845	Forest Whitaker	1961	\N	actor,producer,director	tt1327773,tt3748528,tt0185183,tt0455590
nm0001846	Vanna White	1957	\N	actress,producer	tt0110622,tt0082467,tt0106761,tt0081930
nm0001847	Richard Widmark	1914	2008	actor,producer,soundtrack	tt0053580,tt0039536,tt0077355,tt0071877
nm0001848	Dianne Wiest	1948	\N	actress,soundtrack	tt0091167,tt0099487,tt0109348,tt0383028
nm0001849	Kathleen Wilhoite	1964	\N	actress,soundtrack,composer	tt0098206,tt0119051,tt0090327,tt0091575
nm0001850	Billy Dee Williams	1937	\N	actor,soundtrack,writer	tt0096895,tt0068828,tt0080684,tt0086190
nm0001851	JoBeth Williams	1948	\N	actress,producer,soundtrack	tt0084516,tt0419843,tt0085244,tt0079417
nm0001852	Treat Williams	1951	\N	actor,soundtrack,director	tt0118956,tt0079261,tt0082945,tt0117331
nm0001853	Vanessa Williams	1963	\N	actress,soundtrack,producer	tt0116213,tt0805669,tt0410975,tt0162650
nm0001854	Rita Wilson	1956	\N	actress,producer,soundtrack	tt0116705,tt0108160,tt0163187,tt0259446
nm0001855	Thomas F. Wilson	1959	\N	actor,writer,producer	tt2404463,tt0088763,tt0099088,tt0096874
nm0001856	Oprah Winfrey	1954	\N	producer,actress,soundtrack	tt0090493,tt1327773,tt0088939,tt1020072
nm0001857	Henry Winkler	1945	\N	actor,producer,writer	tt0367279,tt0389860,tt0120484,tt0070992
nm0001858	Mare Winningham	1959	\N	actress,soundtrack	tt2431286,tt0098536,tt0097889,tt0090060
nm0001859	Shelley Winters	1920	2006	actress,soundtrack,producer	tt0056193,tt0069113,tt0048424,tt0059573
nm0001860	Alicia Witt	1975	\N	actress,soundtrack,music_department	tt0146336,tt0313737,tt0411061,tt0087182
nm0001861	Katarina Witt	1965	\N	actress,producer,soundtrack	tt0116695,tt0134269,tt0243164,tt0122690
nm0001862	Mary Woronov	1943	\N	actress,writer,director	tt0098622,tt0083869,tt0087799,tt0092074
nm0001863	Kari Wuhrer	1967	\N	actress,producer,soundtrack	tt0485851,tt0271367,tt0118615,tt0101412
